Date,PP01,TX01
2001-05-05,0.25469175871380606,1,23.246783703842663
2001-05-06,3.093058269942557,1,24.101564323424782
2001-05-07,0.0,0,27.300431897952862
2001-05-08,0.0,0,24.780828660788494
2001-05-09,22.97113312187009,1,25.222332350781326
2001-05-10,15.251960555129125,1,27.86186461077545
2001-05-11,3.3037666754905053,1,27.753440494707085
2001-05-12,0.7387124369442529,1,24.70356295850785
2001-05-13,15.462697668230831,1,22.62773036398707
2001-05-14,8.319936545690144,1,22.52032758657497
2001-05-15,12.1665257313087,1,24.11386668304684
2001-05-16,91.8017717757484,1,24.85066613242441
2001-05-17,24.4736092861319,1,24.639377981847115
2001-05-18,7.426877823795566,1,22.26491152805319
2001-05-19,0.0,0,20.757151323031962
2001-05-20,0.0,0,22.58886500023509
2001-05-21,2.0936756241532777,1,22.98002016655595
2001-05-22,42.054047353100266,1,24.344059848248
2001-05-23,0.0,0,26.58575384983848
2001-05-24,0.0,0,26.79225554933575
2001-05-25,7.403844513589344,1,25.128264431823418
2001-05-26,0.0,0,27.526233652144633
2001-05-27,0.0,0,26.783243982989628
2001-05-28,0.0,0,29.03556355609891
2001-05-29,0.0,0,31.853504843903
2001-05-30,0.0,0,31.39172693531537
2001-05-31,0.0,0,30.533240261614374
2001-06-01,0.0,0,29.854653419624025
2001-06-02,33.481643687079035,1,27.29129886685345
2001-06-03,27.331137057324106,1,26.168270656967064
2001-06-04,22.809401477003718,1,26.933486576873896
2001-06-05,2.260377000586351,1,27.388082976795495
2001-06-06,0.0,0,29.04338670697703
2001-06-07,0.0,0,27.524833208370353
2001-06-08,40.533332984975466,1,22.781263568704574
2001-06-09,18.77449656900165,1,23.210014771867765
2001-06-10,0.0,0,27.462980338008027
2001-06-11,0.0,0,25.9232295500975
2001-06-12,0.0,0,28.095625800961137
2001-06-13,0.0,0,27.306013657136997
2001-06-14,0.0,0,27.325533998768368
2001-06-15,0.0,0,27.998864507634863
2001-06-16,0.0,0,28.365316874978724
2001-06-17,0.0,0,29.127802927078704
2001-06-18,0.0,0,29.643827518662224
2001-06-19,0.0,0,29.0146602325259
2001-06-20,0.0,0,28.224876527452135
2001-06-21,0.0,0,28.01848802236513
2001-06-22,0.0,0,28.67507911477199
2001-06-23,0.0,0,29.285036447678404
2001-06-24,0.0,0,28.93981276314167
2001-06-25,0.0,0,30.19787844787054
2001-06-26,4.803012656205847,1,28.69562294444499
2001-06-27,13.403672907166431,1,26.601002555371842
2001-06-28,1.391353722575048,1,26.726120224144527
2001-06-29,0.0,0,29.200188723171646
2001-06-30,1.8274492569372525,1,28.44744093393337
2001-07-01,26.46899794831763,1,28.118970644772748
2001-07-02,0.0,0,29.99772323888838
2001-07-03,0.0,0,29.486483936692444
2001-07-04,0.0,0,29.905748346892747
2001-07-05,0.0,0,29.328168656179777
2001-07-06,2.8681350494378206,1,27.210046983572866
2001-07-07,4.0926782744938555,1,27.783696976296188
2001-07-08,0.0,0,30.330087980510235
2001-07-09,0.0,0,31.132102438699803
2001-07-10,0.0,0,30.43673510625419
2001-07-11,0.0,0,30.390979962085787
2001-07-12,0.0,0,29.856482342135475
2001-07-13,0.0,0,29.762863172621135
2001-07-14,0.0,0,28.93550443051789
2001-07-15,0.0,0,29.38929442312726
2001-07-16,0.0,0,29.725482816462566
2001-07-17,0.0,0,29.320317266352685
2001-07-18,0.0,0,29.44277855319762
2001-07-19,0.0,0,29.47487813904167
2001-07-20,0.0,0,29.79246766643907
2001-07-21,0.0,0,29.193322167352374
2001-07-22,0.0,0,29.696936784763768
2001-07-23,0.0,0,30.02301166744924
2001-07-24,0.0,0,28.7504477635416
2001-07-25,0.0,0,28.711672080656715
2001-07-26,0.0,0,28.80165012747151
2001-07-27,0.0,0,28.748778858220348
2001-07-28,0.0,0,29.826643089435688
2001-07-29,0.0,0,29.42070041139135
2001-07-30,41.74178937688155,1,29.102271582745196
2001-07-31,31.40470031639636,1,29.036464191277695
2001-08-01,2.180635723877622,1,28.884508832896817
2001-08-02,0.0,0,30.837382681409117
2001-08-03,0.0,0,31.491058256508865
2001-08-04,201.85417060964673,1,29.939232392751457
2001-08-05,0.0,0,31.4251754609707
2001-08-06,0.0,0,30.434256505523976
2001-08-07,0.0,0,30.046512883665304
2001-08-08,0.0,0,29.653014361189634
2001-08-09,0.0,0,29.47446189806183
2001-08-10,0.0,0,29.813802756281586
2001-08-11,0.0,0,29.845778897285985
2001-08-12,0.0,0,30.105938691934274
2001-08-13,0.0,0,29.359677536781586
2001-08-14,0.0,0,29.91864098972088
2001-08-15,0.0,0,30.331934230739453
2001-08-16,0.0,0,31.025804359401885
2001-08-17,0.0,0,30.586332272538158
2001-08-18,0.0,0,30.54026551003206
2001-08-19,0.0,0,30.026682052083533
2001-08-20,0.0,0,30.167078842512968
2001-08-21,0.0,0,29.5552107497983
2001-08-22,0.0,0,29.620464497252655
2001-08-23,0.0,0,29.076394397827876
2001-08-24,0.0,0,29.264674700825957
2001-08-25,0.0,0,29.1610985358834
2001-08-26,0.0,0,29.584876632130346
2001-08-27,0.0,0,29.9976784745091
2001-08-28,0.0,0,28.5862914995675
2001-08-29,0.0,0,28.333366197460183
2001-08-30,0.0,0,28.743223130736315
2001-08-31,0.0,0,28.15481932584954
2001-09-01,0.0,0,27.78187832462212
2001-09-02,0.0,0,28.47010775363513
2001-09-03,0.0,0,28.341744993865927
2001-09-04,0.0,0,29.99101697364252
2001-09-05,0.0,0,29.220583300062035
2001-09-06,0.0,0,28.624836256109415
2001-09-07,0.0,0,27.036773077647894
2001-09-08,0.0,0,26.1550927281456
2001-09-09,5.297690400841773,1,25.985303605209456
2001-09-10,0.0,0,25.025290036325167
2001-09-11,2.2158945565166603,1,25.509465468179368
2001-09-12,0.0,0,26.697199065841875
2001-09-13,12.441792010849474,1,25.972311129333963
2001-09-14,1.6274126328830676,1,25.73024020389169
2001-09-15,0.0,0,25.823075197865762
2001-09-16,4.3996201264235815,1,25.700895981798634
2001-09-17,21.2836682545239,1,26.31591971653335
2001-09-18,18.14986667238154,1,26.256188545052098
2001-09-19,0.0,0,28.73748096598939
2001-09-20,0.0,0,28.19554429245979
2001-09-21,0.0,0,29.13066561874887
2001-09-22,0.0,0,27.590754983416257
2001-09-23,0.0,0,27.54741303456602
2001-09-24,0.0,0,26.87261961532692
2001-09-25,0.0,0,26.248717458405647
2001-09-26,0.0,0,25.51710222586182
2001-09-27,0.0,0,26.76540419806829
2001-09-28,0.0,0,25.52990297272713
2001-09-29,3.0970590741449313,1,24.66938849037164
2001-09-30,0.0,0,25.743774203959248
2001-10-01,5.178232681430507,1,24.56581946426463
2001-10-02,0.0,0,26.199048119074735
2001-10-03,0.0,0,25.76386322220942
2001-10-04,0.0,0,26.41795950129884
2001-10-05,0.0,0,25.295295589353064
2001-10-06,0.0,0,23.007600236654397
2001-10-07,0.0,0,23.020304767888938
2001-10-08,0.0,0,24.589081164766466
2001-10-09,0.0,0,24.83947466711292
2001-10-10,0.0,0,25.044892454538722
2001-10-11,12.994153479317902,1,23.26478886972295
2001-10-12,0.0,0,24.99199632159185
2001-10-13,8.35371192029036,1,24.758760927396875
2001-10-14,0.0,0,24.766168838112435
2001-10-15,0.0,0,27.257852723512315
2001-10-16,0.0,0,27.8345793939736
2001-10-17,10.602853299665208,1,25.954361695884035
2001-10-18,1.0695029454819776,1,25.212180661964886
2001-10-19,0.0,0,24.896812231121483
2001-10-20,0.0,0,21.270389941736912
2001-10-21,0.0,0,22.144321250625616
2001-10-22,0.0,0,23.520695575252073
2001-10-23,7.515405124538671,1,23.573664489997352
2001-10-24,0.009501513993579243,1,23.93035816053632
2001-10-25,0.0,0,28.271139648573516
